"Word","Token","Frequency"
"deadbeat","503332378","3"
"deadening","-1573519179","1"
"deadeningly","-323439358","1"
"deadens","1540260358","1"
"deader","-1335787503","1"
"deadliest","-1567207163","2"
"deadline","503634520","2"
"deadlock","503639951","1"
"deadly","-1335787279","79"
"deadness","503690427","1"
"deadpan","1540270521","17"
"deadpool","503759488","4"
"deadwood","503968017","2"
"deaf","3079270","46"
"deafening","-1516260877","1"
"deafness","505537469","2"
"deal","3079276","295"
"dealed","-1335779829","1"
"dealer","-1335779815","27"
"dealers","1540498810","15"
"dealing","1540502518","110"
"dealings","510937917","9"
"deals","95457671","103"
"dealt","95457672","52"
"dean","3079278","56"
"deana","95457715","4"
"deane","95457719","2"
"deangelo","512716879","2"
"deanna","-1335777631","43"
"deano","95457729","1"
"deans","95457733","1"
"dear","3079282","54"
"dearable","516229324","1"
"deardon","1540676497","1"
"dearest","1540677588","3"
"dearly","-1335773825","3"
"dearth","-1335773594","3"
"death","95457908","781"
"deathbed","518284685","6"
"deathless","-1112745459","1"
"deathline","-1112741784","3"
"deathly","1540739841","6"
"deathmatch","-134565935","2"
"deathrap","518299949","1"
"deaths","-1335772033","93"
"deathstalker","1087891352","18"
"deathtrap","-1112495199","13"
"deathwatch","-125330725","1"
"deathy","-1335772027","1"
"deb","99329","2"
"debacle","1541092508","12"
"debase","-1335760174","1"
"debased","1541107666","2"
"debasement","-2061547728","3"
"debases","1541107681","1"
"debatable","-758444210","6"
"debatably","-758444190","1"
"debate","-1335760143","24"
"debated","1541108627","2"
"debates","1541108642","8"
"debating","529731438","4"
"debauched","-757455559","2"
"debauchery","-2006285294","1"
"debbie","-1335759523","11"
"debenning","-649074658","2"
"debilitating","1689948960","1"
"debit","95458540","1"
"debonair","542474154","4"
"deboo","95458721","1"
"deborah","1541523659","12"
"debra","95458800","29"
"debralee","544867868","1"
"debriefed","-281784584","1"
"debris","-1335744133","3"
"debt","3079315","30"
"debts","95458880","7"
"debucourt","-201125513","1"
"debunk","-1335741103","2"
"debunked","548024752","3"
"debunkers","-191101323","1"
"debunking","-191097615","2"
"debunks","1541698882","1"
"debussy","1541703941","2"
"debut","95458912","108"
"debutant","548194183","1"
"debutante","-185849410","3"
"debutantes","-1466364299","1"
"debuted","1541704447","7"
"debuting","548201858","1"
"debuts","-1335740909","5"
"dec","99330","1"
"decade","-1335730848","97"
"decadence","114413552","10"
"decadent","557880102","9"
"decades","1542016787","75"
"decaffeinated","1740901597","1"
"decalogue","122093461","1"
"decameron","122729466","6"
"decapitate","-400725898","2"
"decapitated","462399150","13"
"decapitates","462399165","4"
"decapitating","1449476019","1"
"decapitation","1449476057","6"
"decapitations","1984084922","5"
"decaprio","558249927","1"
"decarlo","1542030454","4"
"decay","95459258","4"
"decaying","558509544","11"
"decca","95459296","1"
"deceased","561497972","37"
"deceit","-1335726834","8"
"deceitful","233987503","1"
"deceive","1542141269","7"
"deceived","561739183","5"
"deceiving","234049746","1"
"deceivingly","1583509983","1"
"december","561839141","18"
"decency","1542145505","18"
"decent","-1335726679","485"
"decently","561886454","9"
"deception","240454849","14"
"deceptions","-1135834158","3"
"deceptive","240455057","7"
"deceptively","-850920738","11"
"deceptiveness","-1690998936","1"
"decerebrate","488061932","1"
"deceving","562114255","1"
"decibels","565208625","1"
"decide","-1335723160","193"
"decided","1542255100","284"
"decidedly","343437449","21"
"decides","1542255115","211"
"deciding","565272101","20"
"decimated","351645112","4"
"decimation","-1983899121","1"
"decipher","565628364","6"
"decipherable","-1427071706","1"
"deciphered","-1891985557","1"
"decision","565719004","94"
"decisions","357420055","42"
"decisive","565719212","2"
"decisively","-1804680391","1"
"deck","3079337","18"
"deckchair","399858620","1"
"decked","-1335721208","3"
"decks","95459562","1"
"declaiming","342241703","2"
"declaims","567953272","1"
"declan","-1335720361","1"
"declaration","-2028505734","9"
"declarations","1540831801","2"
"declarative","-2028505526","1"
"declare","1542341994","9"
"declared","567961658","7"
"declares","567961673","16"
"declaring","426946471","7"
"declassified","-1361561260","1"
"decline","1542349558","24"
"declined","568196142","8"
"declines","568196157","3"
"declining","434215475","4"
"deco","3079341","7"
"decode","-1335717394","2"
"decoff","-1335717331","1"
"decommissioned","714755531","1"
"decomp","-1335717104","1"
"decomposing","920708718","4"
"decomposition","37999241","1"
"decompression","-1986059707","1"
"decongestant","536435015","1"
"deconstruct","1898698870","5"
"deconstructed","-711483499","3"
"deconstructing","-581147732","3"
"deconstruction","-581147694","3"
"decor","95459685","10"
"decorate","571222797","1"
"decorated","528037623","10"
"decorating","-810698614","3"
"decoration","-810698576","11"
"decorations","638148035","5"
"decorative","-810698368","4"
"decorators","-810692712","1"
"decors","-1335716946","3"
"decorsia","571239750","1"
"decorum","1542447805","2"
"decoteau","571285650","1"
"decoy","95459692","5"
"decrease","573606046","2"
"decreased","601918342","1"
"decreases","601918357","2"
"decree","-1335714480","3"
"decreed","1542524180","1"
"decrementing","1929059951","1"
"decrepit","573620166","5"
"decried","1542528024","1"
"decry","95459785","1"
"dedede","-1335697213","2"
"dedee","95460323","1"
"dedicate","593863957","1"
"dedicated","1229913583","34"
"dedicates","1229913598","3"
"dedicating","-527380334","2"
"dedication","-527380296","11"
"dedications","831080123","1"
"dedlock","1543278510","1"
"dedlocks","596993669","1"
"deduce","-1335681868","4"
"deduced","1543535152","1"
"deduces","1543535167","1"
"deducing","604953713","1"
"deduct","-1335681853","1"
"deducted","604964002","1"
"deductible","1549941653","2"
"deduction","1574019173","3"
"deductive","1574019381","1"
"deductments","807336946","1"
"deducts","1543535632","1"
"dee","99332","42"
"deed","3079392","23"
"deedee","-1335668352","3"
"deedlit","1543961015","4"
"deeds","95461267","14"
"deedy","95461273","1"
"deel","3079400","1"
"deeling","1544196602","1"
"deem","3079401","4"
"deemed","-1335659704","16"
"deems","95461546","1"
"deep","3079404","266"
"deepa","95461621","1"
"deepak","-1335656938","2"
"deepened","629029364","1"
"deepening","-1974921939","5"
"deepens","1544311934","4"
"deeper","-1335656807","67"
"deepest","1544312090","17"
"deeply","-1335656583","143"
"deepness","629289283","1"
"deeps","95461639","1"
"deepti","-1335656351","5"
"deer","3079406","25"
"deere","95461687","2"
"deerhunter","774476270","1"
"deesh","95461721","1"
"deever","-1335651041","1"
"deewana","1544516609","4"
"deewani","1544516617","1"
"def","99333","5"
"defacement","156659900","1"
"defacing","643741595","1"
"defamation","439469732","1"
"default","1544803905","6"
"defaults","644280914","1"
"defeat","-1335637709","39"
"defeated","647386386","27"
"defeating","-1405854257","6"
"defeatism","-1405854096","1"
"defeatist","-1405854089","1"
"defeats","1544904096","6"
"defecates","-1404562940","2"
"defecating","-591774388","1"
"defecation","-591774350","1"
"defect","-1335637647","1"
"defected","647445968","1"
"defection","-1404007177","1"
"defectives","-574542964","1"
"defects","1544906018","4"
"defelitta","-1396012476","2"
"defence","1544916048","17"
"defenceless","50955753","2"
"defend","-1335637322","42"
"defendant","-1394332815","1"
"defendants","-274644190","3"
"defended","647758293","11"
"defender","647758307","1"
"defenders","-1394328848","8"
"defending","-1394325140","21"
"defends","1544916093","3"
"defenetly","-1394284822","1"
"defense","1544916544","25"
"defenseless","509022169","2"
"defenses","647772723","2"
"defensive","-1393878029","2"
"defensively","513013952","1"
"defensiveness","-914787126","1"
"deference","-1390596803","1"
"deferred","647890911","1"
"defers","-1335637183","1"
"defiance","651074643","2"
"defiant","1545023075","2"
"defiantly","-1291505872","4"
"defibulator","1188596171","1"
"deficiencies","1980532903","3"
"deficiency","-1329781175","2"
"deficient","-1289822143","3"
"deficit","1545024842","3"
"defied","-1335633757","5"
"defies","-1335633742","19"
"defilers","651394174","1"
"defiling","651397882","1"
"definate","651449960","2"
"definately","-1021810187","9"
"definatly","-1279887382","1"
"define","-1335633477","28"
"defined","1545035273","36"
"definently","-1018280434","1"
"defines","1545035288","9"
"definetely","-1018116103","4"
"definetly","-1279768218","4"
"defining","651457464","26"
"definite","651457648","42"
"definitely","-1014422019","650"
"definition","-1014418093","41"
"definitions","-1382189696","2"
"definitive","-1014417885","25"
"definitively","101992176","3"
"definitley","-1014415509","1"
"defintly","651467991","1"
"deflated","653851033","3"
"deflates","653851048","1"
"deflect","1545115951","2"
"deflected","-1202252274","1"
"deflector","-1202251950","1"
"deflects","653954340","2"
"deflower","654271004","1"
"defoe","95462555","8"
"deforce","1545217802","1"
"deformed","657121316","15"
"deformity","-1104071223","1"
"defray","-1335625211","1"
"defrocked","-1021250807","2"
"defrost","1545304803","1"
"defrosts","659808752","1"
"deft","3079439","8"
"deftly","-1335622948","14"
"deftness","661612518","3"
"defunct","1545392719","3"
"defuse","-1335621790","3"
"defused","1545397570","1"
"defy","3079444","13"
"defying","1545507406","4"
"degenerate","1469583606","9"
"degenerated","-1687548370","5"
"degenerates","-1687548355","11"
"degenerating","-774387661","1"
"degeneration","-774387623","1"
"degradation","797730310","10"
"degrade","1546214390","3"
"degraded","688005934","5"
"degrades","688005949","3"
"degrading","-146648269","10"
"degree","-1335595316","89"
"degrees","1546218279","13"
"dehaven","1546651685","1"
"dehavilland","1038037770","2"
"dehli","95464388","1"
"dehner","-1335569356","3"
"dehumanization","-584812136","1"
"dehumanizing","-930208955","1"
"dei","99336","1"
"deidre","-1335548785","1"
"deified","1547711658","1"
"deighton","735329738","2"
"deign","95465199","1"
"deirde","-1335535765","1"
"deirdre","1548064749","1"
"deities","1548128747","2"
"deitrich","747622472","1"
"deity","95465613","3"
"deja","3079544","6"
"dejected","761962572","3"
"dekhne","-1335485483","2"
"dekho","95467153","1"
"dekker","-1335482866","1"
"deklerk","1549734012","2"
"del","99339","38"
"delamere","815810689","1"
"delancie","815838279","1"
"delane","-1335462419","2"
"delany","-1335462399","2"
"delapidated","1360401831","2"
"delay","95467907","9"
"delayed","1550348642","12"
"delaying","816171903","2"
"delays","-1335462064","3"
"delbert","1550359632","2"
"delectable","1292127109","9"
"delectably","1292127129","1"
"delegates","-370814066","1"
"delegation","1389669672","1"
"delerue","1550461576","1"
"delete","-1335458389","2"
"deleted","1550463001","25"
"deleuise","819746976","1"
"delhi","95468108","3"
"delhomme","822342451","1"
"delia","95468131","26"
"deliberate","505198305","25"
"deliberately","164270126","33"
"deliberation","164274052","1"
"delicacy","822896658","1"
"delicate","822897165","32"
"delicately","530196570","3"
"delicates","-259991546","1"
"delicatessen","-1581998442","2"
"delices","1550565843","1"
"delicious","-259757527","32"
"deliciously","-518876810","27"
"delight","1550569781","70"
"delighted","-256088940","25"
"delightful","651179048","108"
"delightfully","-1282156619","20"
"delighting","651181709","2"
"delights","823023070","7"
"delilah","1550574357","3"
"delineate","-249731459","1"
"delineated","848259463","1"
"delineation","526243872","1"
"delinquency","887821683","5"
"delinquent","859923415","7"
"delinquents","887822204","4"
"delirious","-245904712","17"
"deliriously","-91223483","3"
"delirium","823351757","4"
"deliver","1550584101","135"
"deliverance","-948523020","18"
"delivere","823466976","1"
"delivered","-242327420","91"
"deliverer","-242327406","1"
"deliveries","1077788562","2"
"delivering","1077788829","28"
"deliverly","-242327182","1"
"delivers","823466990","135"
"delivery","823466996","56"
"dell","3079617","12"
"della","95468224","13"
"dellacqua","-175893958","1"
"delli","95468232","1"
"dello","95468238","3"
"delmar","-1335451277","1"
"delmer","-1335451153","3"
"delon","95468330","9"
"delorean","828888420","1"
"delores","1550759004","4"
"delpy","95468372","7"
"delroy","-1335446031","2"
"delta","95468472","8"
"deltas","-1335444549","1"
"delude","-1335443509","1"
"deluded","1550924281","13"
"deludes","1550924296","1"
"deluding","834016712","2"
"deluge","-1335443416","1"
"deluise","1550929521","12"
"delusion","834463615","6"
"delusional","-1239347222","5"
"delusions","98568404","6"
"delusive","834463823","1"
"deluxe","-1335442889","3"
"delve","95468538","12"
"delved","-1335442518","4"
"delves","-1335442503","11"
"delving","1550959159","3"
"demagogue","402578074","1"
"demand","-1335432629","37"
"demanded","844468266","9"
"demanding","408716727","27"
"demands","1551261576","48"
"demarco","1551265385","1"
"dematerializing","-230196887","1"
"dematteo","844662399","1"
"demean","-1335429178","5"
"demeaned","847784677","2"
"demeaning","511525468","5"
"demeanor","847785001","15"
"demeanour","511531462","4"
"demeans","1551368557","1"
"demented","848177726","45"
"dementedly","-944988085","1"
"dementia","848177847","6"
"demential","523709589","1"
"dementing","523709987","1"
"demer","95468985","1"
"demerille","527079189","1"
"demerit","1551384740","1"
"demi","3079645","3"
"demian","-1335425334","2"
"demigods","851658452","1"
"demille","1551498216","34"
"demise","-1335424785","28"
"demises","1551504740","2"
"demme","95469220","8"
"demo","3079651","4"
"demobbed","857038146","1"
"democracy","799775173","18"
"democrat","857083205","4"
"democratic","-976757473","14"
"democratically","-1233915753","2"
"democrats","799775694","2"
"demographic","-959783003","13"
"demographics","311498094","3"
"demolish","857343221","2"
"demolished","-726882220","3"
"demolishes","-726882205","2"
"demolition","-726851148","7"
"demolitions","-1057548993","1"
"demon","95469291","80"
"demond","-1335419175","1"
"demoniac","857402240","1"
"demonic","1551678789","28"
"demonically","701517245","1"
"demonicus","809668259","13"
"demoninators","587359885","1"
"demonisation","730499776","1"
"demonise","857402800","1"
"demonization","930903833","1"
"demonizing","-669414138","1"
"demons","-1335419160","67"
"demonstrably","1059358164","1"
"demonstrate","1004004716","22"
"demonstrated","1059375224","21"
"demonstrates","1059375239","25"
"demonstrating","-1519102167","4"
"demonstration","-1519102129","12"
"demonstrations","152474372","1"
"demonstrative","-1519101921","1"
"demoralise","-562702623","1"
"demoralize","-562702406","1"
"demostrates","1172849295","1"
"demotes","1551684447","1"
"demotion","857581431","1"
"dempsey","1551713283","2"
"dempster","858485426","2"
"demunn","-1335413399","1"
"demure","-1335413284","8"
"demurs","-1335413270","1"
"den","99341","16"
"denard","-1335402714","3"
"dench","95469874","11"
"denemark","876759237","1"
"deneuve","1552311532","1"
"denholm","1552394837","18"
"deniable","880096598","1"
"denial","-1335395545","15"
"denials","1552411180","1"
"denied","-1335395429","10"
"deniers","1552415210","1"
"denies","-1335395414","4"
"denigh","-1335395363","1"
"denigrate","1519198539","2"
"denigrated","-149485447","1"
"denigrates","-149485432","1"
"denigration","-339077266","1"
"deniro","-1335395015","33"
"denis","95470071","24"
"denise","-1335394994","19"
"deniselacey2000","795435250","1"
"denison","1552428566","5"
"deniz","95470078","1"
"denizen","1552434983","2"
"denizens","880844332","3"
"denmark","1552530522","11"
"dennehy","1552563861","3"
"dennis","-1335390485","72"
"dennison","884968970","1"
"denny","95470232","4"
"denomination","-1351969819","1"
"denominations","1038608686","1"
"denominator","-1983274394","7"
"denote","-1335389197","1"
"denotes","1552607968","3"
"denouement","1269715056","15"
"denounced","1703785031","3"
"dense","95470367","14"
"densely","1552712940","2"
"density","1552717032","2"
"dent","3079687","4"
"dental","-1335384974","17"
"dentatta","890272871","1"
"dentist","1552746787","47"
"dentistry","1836014250","3"
"dentists","890510256","6"
"dentisty","890510262","1"
"denture","1552758273","1"
"dentures","890866322","2"
"denuded","1552771323","1"
"denver","-1335382922","20"
"deny","3079692","30"
"denying","1552895574","11"
"denys","95470567","2"
"denzel","-1335379084","49"
"deodato","1553185990","7"
"deol","3079710","7"
"deosnt","-1335355733","1"
"depalma","1554030478","10"
"depardieu","-1220045707","16"
"depardue","930475380","1"
"depart","-1335343116","6"
"departed","930490259","12"
"departing","-1219568786","2"
"department","848184146","84"
"departments","523904865","11"
"departs","1554036479","4"
"departure","-1219557132","26"
"departures","848434687","1"
"depend","-1335339412","15"
"dependable","-26421818","7"
"dependances","-818727400","1"
"dependant","-1109230597","1"
"depended","934049803","6"
"dependence","-26291401","4"
"dependency","-26291381","4"
"dependent","-1109226753","7"
"depending","-1109222922","28"
"depends","1554151303","24"
"depersonalization","-1470343293","1"
"depict","-1335335893","25"
"depicted","937431562","81"
"depicting","-1004388393","33"
"depiction","-1004388355","73"
"depictions","-1071267818","19"
"depicts","1554260392","34"
"depleted","940261707","1"
"depleting","-916653898","1"
"deplorable","1932695098","15"
"deplorably","1932695118","1"
"deplore","1554361221","1"
"deploy","-1335332633","1"
"deployed","940564422","3"
"deployment","1939520197","4"
"deployments","-4415922","1"
"deponent","943286269","1"
"deported","943419553","3"
"deportees","-818764783","1"
"deportivo","-818760416","1"
"depose","-1335329646","1"
"deposed","1554454034","1"
"deposit","1554454174","3"
"deposited","-818154563","3"
"depositing","407016580","1"
"deposits","943439253","2"
"depot","95472180","3"
"depp","3079745","9"
"depraved","945685591","11"
"depravities","-2061745388","1"
"depravity","-748513290","9"
"deprecating","936927566","4"
"deprecation","936927604","1"
"depreciative","-808206755","1"
"depressed","-744899455","46"
"depresses","-744899440","1"
"depressing","-1617042368","92"
"depressingly","800448973","4"
"depression","-1617042330","47"
"depressive","-1617042122","4"
"deprivation","735928901","1"
"deprived","945923919","11"
"depriving","-741125326","1"
"dept","3079749","5"
"depth","95472323","209"
"depths","-1335325168","21"
"deputies","949009705","3"
"deputising","1465670730","1"
"deputy","-1335323829","32"
"der","99345","40"
"derail","-1335283821","2"
"derailed","987472754","4"
"derails","1555874624","3"
"deran","95473662","3"
"derange","1555879260","1"
"deranged","987616904","31"
"derangement","1569578170","1"
"derated","1555884963","1"
"deray","95473673","1"
"derboiler","580972078","1"
"derek","95473783","55"
"dereks","-1335279908","2"
"derelict","991253282","1"
"deride","-1335276295","1"
"derides","1556107930","2"
"derision","995156269","7"
"derisive","995156477","1"
"derisory","995162139","2"
"derivative","-1353885305","27"
"derivatives","979228620","2"
"derive","-1335275737","9"
"derived","1556125213","9"
"derives","1556125228","5"
"deriviative","1191030650","1"
"dermatonecrotic","1238275525","1"
"dermot","-1335272095","7"
"dermott","1556238131","1"
"dern","3079805","19"
"derogatory","-753262118","4"
"deroubaix","958473189","1"
"derrek","-1335267609","1"
"derrick","1556380784","3"
"derriere","1003166288","1"
"derring","1556381121","2"
"des","99346","31"
"desai","95474618","2"
"descartes","1484451424","1"
"descend","1556853930","3"
"descendant","-1116304131","8"
"descendants","-245689578","3"
"descended","1488010953","7"
"descendent","-1116300287","2"
"descending","-1116296456","6"
"descends","1017831689","7"
"descent","1556853946","38"
"deschanel","1490403851","2"
"desconocida","49625634","1"
"descours","1018136760","1"
"describe","1018214091","109"
"described","1499865849","99"
"describes","1499865864","38"
"describing","-748794680","27"
"description","-1724546052","68"
"descriptions","-1921319945","11"
"descriptive","-1724545844","2"
"descriptor","-748366993","1"
"desdemona","1516621160","4"
"desecrated","605067604","1"
"desenex","1556921902","1"
"desensitized","462140115","1"
"desenstizing","767392437","1"
"desert","-1335249899","107"
"deserted","1020071796","29"
"deserting","1557458861","2"
"desertion","1557458899","1"
"deserts","1556926206","10"
"deserve","1556926254","103"
"deserved","1020073718","122"
"deservedly","1038302979","19"
"deserves","1020073733","231"
"deserving","1557518443","34"
"deservingly","2126608184","1"
"desi","3079831","9"
"desica","-1335246539","1"
"desides","1557031451","1"
"desiging","1023427890","1"
"design","-1335246402","113"
"designate","1661630484","1"
"designated","-29062448","6"
"designed","1023432413","88"
"designer","1023432427","24"
"designers","1661634280","2"
"designing","1661637988","1"
"designs","1557034613","39"
"desilva","1557039648","2"
"desirable","1671402645","6"
"desire","-1335246070","120"
"desired","1557044890","34"
"desiree","1557044891","1"
"desires","1557044905","31"
"desiring","1023755591","3"
"desirous","1023761586","1"
"desis","95474876","1"
"desist","-1335246024","1"
"desk","3079833","20"
"desktop","1557106716","1"
"deslys","-1335242956","2"
"desmond","1557161450","5"
"desny","95475037","1"
"desolate","1029110467","13"
"desolation","1132688102","4"
"desoto","-1335240232","1"
"desousa","1557226950","1"
"despaaaaaair","1831240231","1"
"despair","1557237228","43"
"despairable","1550732614","1"
"despaired","1856360331","1"
"despairing","1712599670","3"
"despairingly","835811971","1"
"desperado","1860306177","1"
"desperados","1834916754","1"
"desperate","1860306663","134"
"desperately","1048311476","69"
"desperateness","-1889942082","1"
"desperation","1048315402","48"
"despicable","1935578514","26"
"despicably","1935578534","1"
"despict","1557244732","1"
"despirately","303358904","1"
"despise","1557245213","18"
"despised","1029961447","6"
"despises","1029961462","3"
"despising","1864038042","1"
"despite","1557245244","554"
"desplat","1557247553","3"
"desplechin","2023378273","3"
"despondent","2117604484","6"
"despondently","-796585711","1"
"despot","-1335239421","1"
"despotic","1030141277","3"
"dessert","1557330726","4"
"dessertion","203031330","1"
"desserts","1032612365","6"
"dessicated","303139341","2"
"dessin","-1335236730","1"
"destabilise","-276341739","1"
"destabilize","-276341522","1"
"destin","-1335235769","2"
"destination","-1429847026","24"
"destinations","-1375584731","3"
"destined","1033650726","27"
"destinies","1978405424","5"
"destins","1557364236","1"
"destiny","1557364242","39"
"destitute","1978596153","1"
"destroy","1557372922","93"
"destroyed","1986762265","73"
"destroyer","1986762279","5"
"destroyers","1460088620","2"
"destroying","1460092328","39"
"destroys","1033920441","28"
"destruct","1033925526","1"
"destruction","-1829997390","62"
"destructive","-1829997182","21"
"destructively","-1985664369","1"
"destructiveness","-1257935143","1"
"destructo","1986920345","1"
"destry","-1335235479","1"
"desu","3079843","1"
"desultory","2009990059","3"
"det","99347","6"
"detachable","-1211389075","1"
"detached","1044548466","19"
"detachment","-1211028623","3"
"detail","-1335224239","151"
"detailed","1044731056","46"
"detailing","-1973071375","10"
"details","1557721666","164"
"detain","-1335224237","1"
"detained","1044732978","7"
"detaining","-1973011793","1"
"detatched","-1963182006","1"
"detect","-1335220573","6"
"detected","1048254082","1"
"detecting","-1863857569","1"
"detection","-1863857531","5"
"detective","-1863857323","159"
"detectives","-1945002050","24"
"detector","1048254406","2"
"detention","-1853698800","13"
"deter","95475712","11"
"deterent","1048686827","2"
"deteriorate","-47370490","4"
"deteriorated","-1468485090","6"
"deteriorating","1721606723","3"
"deterioration","1721606761","7"
"determinate","61485824","2"
"determination","-1041657885","15"
"determine","-1850213293","16"
"determined","-1522037135","67"
"determinedly","1906164670","1"
"determines","-1522037120","6"
"determining","61493328","3"
"determinism","61493489","1"
"deterr","-1335220110","1"
"deterrance","-1517657919","1"
"deterred","1048699025","4"
"deterrent","-1850068167","3"
"detest","-1335220077","2"
"detestable","-1487192979","4"
"deteste","1557850674","1"
"detests","1557850688","1"
"dethaw","-1335217749","1"
"detlef","-1335213798","1"
"detmers","1558075500","6"
"detonate","1057799200","2"
"detonating","-1362210595","1"
"detonation","-1362210557","1"
"detonator","-1567962744","1"
"detour","-1335210407","5"
"detours","1558150458","1"
"detract","1558220147","16"
"detracted","-1494021806","4"
"detracting","929968527","3"
"detraction","929968565","1"
"detractions","-1235745442","1"
"detractor","-1494021482","1"
"detractors","929974429","5"
"detracts","1060184416","11"
"detriment","-1486349848","6"
"detrimental","1841908755","4"
"detriments","1167795083","1"
"detritus","1060439112","3"
"detroit","1558233787","22"
"deuce","95476598","2"
"deus","3079903","7"
"deusexmachina529","1480994667","1"
"deutsch","1559220536","1"
"deutschland","-773388509","1"
"deux","3079908","5"
"dev","99349","2"
"devadharshini","1476589934","1"
"devalues","1102087395","1"
"devane","-1335164509","1"
"devastated","-1551569953","16"
"devastating","-854024030","26"
"devastatingly","-378335825","3"
"devastation","-854023992","6"
"devdas","-1335162015","1"
"develop","1559690845","98"
"developed","-80681028","172"
"developer","-80681014","4"
"developers","1793855977","3"
"developing","1793859685","37"
"development","-224813765","244"
"developmental","-1297660250","1"
"developments","1620707992","19"
"developping","-224720561","1"
"develops","1105776054","55"
"deveraux","1105941506","3"
"devestated","1998444771","1"
"devgan","-1335159137","12"
"devgans","1559739828","1"
"deviants","1109141600","3"
"deviate","1559799582","1"
"deviated","1109146886","1"
"deviates","1109146901","2"
"deviating","23819355","1"
"deviation","23819393","1"
"deviations","738401298","1"
"device","-1335157162","73"
"devices","1559801053","36"
"devil","95477752","116"
"devilish","1109464454","13"
"devilishness","2032299229","1"
"devilry","1559810111","1"
"devils","-1335156869","8"
"devincentis","-422164148","1"
"devine","-1335156821","2"
"devious","1559813081","7"
"devise","-1335156666","11"
"devised","1559816414","9"
"devises","1559816429","1"
"devising","1109672835","1"
"devito","-1335156625","8"
"devlin","-1335154084","4"
"devloping","122516938","1"
"devo","3079930","2"
"devoid","-1335151211","44"
"devolve","1559988961","2"
"devolved","1115017635","1"
"devolves","1115017650","2"
"devon","95477940","4"
"devorah","1559994079","1"
"devos","95477945","10"
"devote","-1335150869","3"
"devoted","1559996121","42"
"devotedly","212689446","1"
"devotee","1559996122","5"
"devotees","1115239641","2"
"devoting","1115243752","2"
"devotion","1115243790","17"
"devotional","-1992538695","1"
"devotions","212819237","1"
"devour","-1335150825","5"
"devoured","1115281910","7"
"devourer","1115281924","1"
"devouring","214005099","3"
"devours","1559997500","3"
"devout","-1335150823","11"
"devoutly","1115284070","3"
"devry","95478044","1"
"dewaere","1560488557","5"
"dewames","1560495856","1"
"dewet","95478597","1"
"dewey","95478602","5"
"dewy","3079971","4"
"dex","99351","6"
"dexter","-1335086934","7"
"dexterity","2117382084","2"
"dexters","1561978121","1"
"dey","99352","8"
"dezel","95481472","1"
"dh","3204","1"
"dhanno","-1333007054","1"
"dharam","-1333003615","1"
"dharmendra","1394127858","1"
"dhavan","-1332999770","2"
"dhawan","-1332998809","6"
"dhoom","95560585","5"
"dhoom2","-1332589111","1"
"dhupia","-1332409481","1"
"di","3205","10"
"diabetes","-243363325","1"
"diablo","-1332095127","7"
"diabo","95576521","2"
"diabolic","-243072995","1"
"diabolical","-1664911096","14"
"diabolically","2043241621","1"
"diabolique","-1664897029","2"
"diaboliques","-72200232","2"
"diage","95576666","1"
"diagnose","-238481986","1"
"diagnosed","1196993126","5"
"diagnosis","1196993265","7"
"diagonally","-1520742270","1"
"dial","3083120","7"
"dialect","1655014950","9"
"dialog","-1332085432","310"
"dialoge","1655024669","1"
"dialogs","1655024683","60"
"dialogue","-233842216","620"
"dialogues","1340826011","46"
"dialongs","-233835909","1"
"dialoque","-233832606","1"
"dialouge","-233829196","4"
"diamantino","-890932396","3"
"diametrically","-1722519004","2"
"diamond","1655054676","40"
"diamonds","-232912481","11"
"diana","95576879","42"
"diane","95576883","42"
"dianne","-1332083543","4"
"diaper","-1332081887","2"
"diapers","1655134578","3"
"diaphanous","1959804172","1"
"diaries","1655197601","5"
"diario","-1332079844","2"
"diarrhea","-228211256","3"
"diarrhoea","1515395487","1"
"diary","95577027","17"
"diatribe","-226363342","1"
"diavalo","1655309290","1"
"diavolo","1655322744","2"
"diaz","3083134","13"
"dibb","3083141","1"
"dibiase","1655845735","3"
"dibnah","-1332054152","1"
"dic","99454","3"
"dicaprio","-186702645","14"
"dice","3083175","10"
"dicenzo","1656662812","1"
"dichen","-1332029997","1"
"dichotomy","-1293268756","5"
"dick","3083181","133"
"dicken","-1332027114","2"
"dickens","1656832541","26"
"dickenson","-1216791364","2"
"dicker","-1332027110","1"
"dickerson","-1216672200","2"
"dickey","-1332027103","2"
"dickie","-1332026999","3"
"dickinson","-1213097280","18"
"dickish","1656836529","1"
"dickman","1656839821","1"
"dickory","1656842281","2"
"dicks","95578726","1"
"dickson","1656846021","1"
"dicky","95578732","1"
"dictate","1657096988","3"
"dictated","-169600824","2"
"dictates","-169600809","5"
"dictating","-962653991","1"
"dictator","-169600500","19"
"dictators","-962648089","2"
"dictatorship","-752480696","11"
"dictatorships","-1852064981","5"
"diction","1657104530","7"
"dictionary","447049878","7"
"dictum","-1332017970","1"
"did","99455","2532"
"didactic","-158458867","4"
"didactically","-1962604411","2"
"diddley","1657553979","1"
"diddy","95579476","2"
"didja","95579638","1"
"didn","3083215","1752"
"didnt","95579781","10"
"die","99456","306"
"died","3083236","188"
"diedrich","-126623040","1"
"diegetic","-124229008","1"
"diego","95580520","21"
"diehards","-123426712","1"
"diehl","95580548","2"
"dien","3083246","8"
"diepardieu","156102550","1"
"dierdre","1658887269","1"
"dies","3083251","159"
"diesel","-1331959846","4"
